"category","label","date_seance","date_seance_suivante","publication_paris_datetime","jours_francs","jours_calendaires_depuis_seance","jours_calendaires_apres_seance_suivante","verdict","url","last_modified","error","note"
"CONVOCATION","ODJ 13/02/2023","2023-02-13","","2023-10-25 10:29:22","","","","POSTERIEUR","https://www.mairie-corte.fr/modules.php?name=Downloads&d_op=getit&lid=1599","Wed, 25 Oct 2023 08:29:22 GMT","",""
"CONVOCATION","ODJ 20/03/2023","2023-03-20","","2023-10-25 10:29:38","","","","POSTERIEUR","https://www.mairie-corte.fr/modules.php?name=Downloads&d_op=getit&lid=1600","Wed, 25 Oct 2023 08:29:38 GMT","",""
"CONVOCATION","ODJ 11/04/2023","2023-04-11","","2023-10-25 09:55:07","","","","POSTERIEUR","https://www.mairie-corte.fr/modules.php?name=Downloads&d_op=getit&lid=1597","Wed, 25 Oct 2023 07:55:07 GMT","",""
"CONVOCATION","ODJ 24/07/2023","2023-07-24","","2023-10-25 09:54:29","","","","POSTERIEUR","https://www.mairie-corte.fr/modules.php?name=Downloads&d_op=getit&lid=1596","Wed, 25 Oct 2023 07:54:29 GMT","",""
"CONVOCATION","ODJ 30/10/2023","2023-10-30","","2023-10-23 14:57:30","6","","","CONFORME","https://www.mairie-corte.fr/modules.php?name=Downloads&d_op=getit&lid=1592","Mon, 23 Oct 2023 12:57:30 GMT","",""
"CONVOCATION","ODJ 20/11/2023","2023-11-20","","2023-11-16 10:19:57","3","","","NON_CONFORME","https://www.mairie-corte.fr/modules.php?name=Downloads&d_op=getit&lid=1615","Thu, 16 Nov 2023 09:19:57 GMT","",""
"CONVOCATION","ODJ 12/02/2024","2024-02-12","","2024-02-05 16:20:44","6","","","CONFORME","https://www.mairie-corte.fr/modules.php?name=Downloads&d_op=getit&lid=1642","Mon, 05 Feb 2024 15:20:44 GMT","",""
"CONVOCATION","ODJ 25/03/2024","2024-03-25","","2024-07-08 11:44:38","","","","POSTERIEUR","https://www.mairie-corte.fr/modules.php?name=Downloads&d_op=getit&lid=1719","Mon, 08 Jul 2024 09:44:38 GMT","",""
"CONVOCATION","ODJ 08/04/2024","2024-04-08","","2024-07-08 11:32:03","","","","POSTERIEUR","https://www.mairie-corte.fr/modules.php?name=Downloads&d_op=getit&lid=1718","Mon, 08 Jul 2024 09:32:03 GMT","",""
"CONVOCATION","ODJ 22/04/2024","2024-04-22","","2024-07-08 11:29:27","","","","POSTERIEUR","https://www.mairie-corte.fr/modules.php?name=Downloads&d_op=getit&lid=1717","Mon, 08 Jul 2024 09:29:27 GMT","",""
"CONVOCATION","ODJ 01/07/2024","2024-07-01","","2024-09-18 15:28:46","","","","POSTERIEUR","https://www.mairie-corte.fr/modules.php?name=Downloads&d_op=getit&lid=1753","Wed, 18 Sep 2024 13:28:46 GMT","",""
"CONVOCATION","ODJ 23/09/2024","2024-09-23","","2024-09-18 11:14:47","4","","","NON_CONFORME","https://www.mairie-corte.fr/modules.php?name=Downloads&d_op=getit&lid=1751","Wed, 18 Sep 2024 09:14:47 GMT","",""
